ax,ay,az,gx,gy,gz,label
-688.0,-208.0,13492.0,1297.0,953.0,1437.0,diagonal
-408.0,-400.0,12848.0,611.0,652.0,1585.0,diagonal
-352.0,-1260.0,12100.0,-47.0,1060.0,1788.0,diagonal
164.0,-1728.0,13408.0,-1028.0,1708.0,1830.0,diagonal
888.0,-1948.0,16264.0,-1528.0,195.0,1494.0,diagonal
1124.0,-1340.0,18988.0,-710.0,-767.0,1048.0,diagonal
928.0,-1196.0,19224.0,515.0,-1876.0,642.0,diagonal
-204.0,-1188.0,17016.0,1675.0,-1875.0,717.0,diagonal
-464.0,-1360.0,14096.0,2146.0,-1247.0,1394.0,diagonal
648.0,-1868.0,12160.0,1673.0,582.0,1835.0,diagonal
1052.0,-2424.0,14076.0,672.0,886.0,1713.0,diagonal
772.0,-2344.0,17640.0,966.0,448.0,1677.0,diagonal
-1428.0,-2604.0,21216.0,2763.0,2340.0,2014.0,diagonal
-2052.0,-3332.0,22816.0,5299.0,1869.0,2954.0,diagonal
-2160.0,-4984.0,24632.0,8711.0,3310.0,4466.0,diagonal
-124.0,-7668.0,22628.0,12347.0,3514.0,5677.0,diagonal
2460.0,-10052.0,19380.0,14732.0,3936.0,6200.0,diagonal
4664.0,-12248.0,15064.0,15542.0,2002.0,5865.0,diagonal
6492.0,-12720.0,11760.0,15724.0,3973.0,5040.0,diagonal
6504.0,-13424.0,8744.0,14341.0,3469.0,4425.0,diagonal
5584.0,-13320.0,8780.0,12707.0,6595.0,3998.0,diagonal
4468.0,-13464.0,10780.0,11544.0,7095.0,4584.0,diagonal
6160.0,-14000.0,9424.0,10130.0,7428.0,4954.0,diagonal
8288.0,-13984.0,8956.0,7730.0,4664.0,4365.0,diagonal
8172.0,-14236.0,10244.0,5438.0,3089.0,3359.0,diagonal
8568.0,-14488.0,11700.0,3820.0,2035.0,2390.0,diagonal
8512.0,-14704.0,12724.0,2902.0,1898.0,1247.0,diagonal
7764.0,-14480.0,11836.0,1714.0,851.0,254.0,diagonal
6096.0,-14284.0,12924.0,396.0,529.0,-362.0,diagonal
4928.0,-14028.0,13400.0,-494.0,480.0,-393.0,diagonal
5788.0,-13960.0,14844.0,-1154.0,684.0,-647.0,diagonal
4904.0,-13760.0,15920.0,-1456.0,-151.0,-860.0,diagonal
4636.0,-13328.0,16716.0,-1344.0,329.0,-704.0,diagonal
4896.0,-13744.0,16384.0,-1198.0,-57.0,-693.0,diagonal
4928.0,-13940.0,16124.0,-1268.0,312.0,-882.0,diagonal
6276.0,-14928.0,15176.0,-1455.0,864.0,-1238.0,diagonal
6684.0,-15076.0,16048.0,-1810.0,258.0,-2327.0,diagonal
-348.0,332.0,16612.0,99.0,-55.0,-809.0,diagonal
-472.0,252.0,15852.0,-22.0,49.0,-688.0,diagonal
-472.0,172.0,15732.0,-327.0,189.0,-542.0,diagonal
-324.0,144.0,16404.0,-456.0,457.0,-460.0,diagonal
96.0,228.0,17172.0,-365.0,65.0,-562.0,diagonal
120.0,192.0,17472.0,-73.0,-135.0,-669.0,diagonal
-84.0,300.0,16984.0,148.0,-162.0,-654.0,diagonal
16.0,136.0,16312.0,168.0,78.0,-693.0,diagonal
-376.0,-208.0,16696.0,-54.0,316.0,-871.0,diagonal
-2648.0,-196.0,19216.0,87.0,1095.0,-907.0,diagonal
-5140.0,-28.0,21416.0,850.0,397.0,-100.0,diagonal
-6572.0,-212.0,23448.0,2473.0,-85.0,1711.0,diagonal
-5760.0,-948.0,23928.0,5117.0,84.0,4061.0,diagonal
-2816.0,-3120.0,21948.0,7737.0,780.0,6178.0,diagonal
740.0,-5076.0,19372.0,9729.0,2251.0,7181.0,diagonal
4792.0,-6764.0,16156.0,10479.0,2640.0,6879.0,diagonal
7080.0,-7440.0,14220.0,10078.0,1386.0,5405.0,diagonal
7144.0,-7592.0,14752.0,9567.0,1158.0,3534.0,diagonal
5672.0,-7724.0,14564.0,9433.0,1669.0,2097.0,diagonal
2720.0,-8880.0,16660.0,9799.0,2220.0,1994.0,diagonal
2752.0,-10100.0,17556.0,11872.0,5469.0,2725.0,diagonal
3912.0,-11224.0,14324.0,12824.0,4954.0,3749.0,diagonal
4576.0,-12160.0,11516.0,11903.0,6304.0,4265.0,diagonal
5920.0,-12540.0,10492.0,10718.0,6210.0,4545.0,diagonal
7156.0,-13040.0,12000.0,9187.0,7282.0,4144.0,diagonal
6308.0,-13476.0,12392.0,7744.0,4302.0,3646.0,diagonal
6140.0,-13596.0,14416.0,6667.0,4034.0,3210.0,diagonal
6640.0,-14244.0,14136.0,5739.0,3672.0,2973.0,diagonal
7808.0,-14140.0,13192.0,4691.0,2468.0,2351.0,diagonal
10196.0,-14416.0,11960.0,2592.0,386.0,747.0,diagonal
8700.0,-14076.0,12388.0,706.0,-570.0,-1165.0,diagonal
5772.0,-13676.0,12948.0,-907.0,-891.0,-1930.0,diagonal
4016.0,-13344.0,14752.0,-1904.0,32.0,-1805.0,diagonal
3056.0,-13152.0,16544.0,-2357.0,1449.0,-1259.0,diagonal
3448.0,-13168.0,18436.0,-2334.0,1076.0,-630.0,diagonal
3736.0,-13116.0,20424.0,-1869.0,1269.0,-334.0,diagonal
4912.0,-13188.0,20916.0,-797.0,329.0,-120.0,diagonal
6444.0,-13412.0,19564.0,68.0,-805.0,-378.0,diagonal
6440.0,-13532.0,17488.0,88.0,-1336.0,-1180.0,diagonal
5436.0,-13368.0,16892.0,-167.0,-1111.0,-1596.0,diagonal
-724.0,584.0,13612.0,-2232.0,-879.0,-601.0,diagonal
-1124.0,720.0,15124.0,-2419.0,-830.0,-500.0,diagonal
-1440.0,880.0,16148.0,-2192.0,-460.0,-311.0,diagonal
-1792.0,932.0,17264.0,-1514.0,132.0,49.0,diagonal
-1928.0,804.0,17632.0,-618.0,293.0,500.0,diagonal
-1212.0,720.0,17208.0,138.0,442.0,773.0,diagonal
-1812.0,788.0,17848.0,808.0,2514.0,891.0,diagonal
-3500.0,736.0,20256.0,2043.0,3419.0,1618.0,diagonal
-4644.0,304.0,20920.0,3573.0,3547.0,2951.0,diagonal
-3920.0,-472.0,21760.0,5291.0,3518.0,4359.0,diagonal
-2576.0,-1792.0,22048.0,7375.0,3935.0,5621.0,diagonal
-844.0,-3072.0,21360.0,9250.0,4640.0,6612.0,diagonal
588.0,-4660.0,19296.0,10436.0,5617.0,6801.0,diagonal
1544.0,-5780.0,16364.0,10319.0,3263.0,6797.0,diagonal
3148.0,-6248.0,14944.0,9536.0,2315.0,6399.0,diagonal
3792.0,-6720.0,13548.0,8562.0,1539.0,5592.0,diagonal
3800.0,-6892.0,13956.0,7505.0,1625.0,4948.0,diagonal
3320.0,-7204.0,14264.0,6703.0,1777.0,4511.0,diagonal
2628.0,-7276.0,15600.0,6307.0,2936.0,4180.0,diagonal
1768.0,-7660.0,16748.0,6300.0,3910.0,4299.0,diagonal
1172.0,-7944.0,17320.0,6301.0,4296.0,4551.0,diagonal
980.0,-8364.0,17836.0,6526.0,4534.0,5041.0,diagonal
1768.0,-9080.0,17336.0,6471.0,5019.0,5580.0,diagonal
4020.0,-9716.0,16292.0,5809.0,3454.0,5506.0,diagonal
5868.0,-10080.0,15856.0,4799.0,3242.0,4448.0,diagonal
6732.0,-10100.0,15460.0,3480.0,467.0,2826.0,diagonal
6080.0,-9944.0,15016.0,2109.0,-1143.0,1051.0,diagonal
4040.0,-9568.0,14648.0,731.0,-1561.0,-94.0,diagonal
2708.0,-9536.0,14880.0,-353.0,-976.0,-415.0,diagonal
1908.0,-9236.0,16292.0,-1038.0,134.0,-439.0,diagonal
1296.0,-9208.0,17244.0,-1542.0,433.0,-271.0,diagonal
1808.0,-8992.0,18576.0,-1704.0,432.0,-133.0,diagonal
2260.0,-8872.0,19460.0,-1569.0,177.0,-311.0,diagonal
1988.0,-8876.0,19952.0,-1190.0,0.0,-539.0,diagonal
1440.0,-8768.0,19644.0,-805.0,-572.0,-441.0,diagonal
1636.0,-8956.0,18692.0,-645.0,-481.0,-370.0,diagonal
1436.0,-8904.0,18400.0,-668.0,-482.0,-316.0,diagonal
1732.0,-8608.0,18384.0,-745.0,-418.0,-282.0,diagonal
1780.0,-8684.0,18468.0,-770.0,-391.0,-337.0,diagonal
1508.0,-8568.0,18756.0,-654.0,-550.0,-267.0,diagonal
-96.0,1548.0,11224.0,917.0,1709.0,161.0,diagonal
200.0,1640.0,10944.0,790.0,1785.0,-11.0,diagonal
-120.0,1600.0,10928.0,583.0,1801.0,-170.0,diagonal
-196.0,1388.0,11424.0,380.0,1754.0,-224.0,diagonal
-224.0,1444.0,12124.0,438.0,1816.0,-263.0,diagonal
100.0,1604.0,12616.0,575.0,1714.0,-385.0,diagonal
-700.0,1740.0,12940.0,765.0,1513.0,-668.0,diagonal
-3560.0,2028.0,14736.0,1204.0,2357.0,-388.0,diagonal
-5672.0,2384.0,17088.0,2405.0,2852.0,886.0,diagonal
-5944.0,1944.0,17732.0,3870.0,1998.0,2507.0,diagonal
-6448.0,1216.0,19432.0,5743.0,1224.0,4211.0,diagonal
-5348.0,-788.0,17000.0,8307.0,997.0,6030.0,diagonal
-2744.0,-2980.0,13908.0,9589.0,1089.0,7377.0,diagonal
736.0,-4724.0,12060.0,10277.0,1805.0,7784.0,diagonal
4036.0,-5536.0,11112.0,10378.0,2092.0,7062.0,diagonal
